Tom Brady Career Statistics:
Year   Team    CMP%   YDS   TD INT Rating
2019  Patriots 60.8  4,057  24  8   88.0
2018  Patriots 65.8  4,355  29  11  97.7
2017  Patriots 66.3  4,577  32  8   102.8
2016  Patriots 67.4  3,554  28  2   112.2
2015  Patriots 64.4  4,770  36  7   102.2
2014  Patriots 64.1  4,109  33  9   97.4
2013  Patriots 60.5  4,343  25  11  87.3
2012  Patriots 63.0  4,827  34  8   98.7
2011  Patriots 65.6  5,235  39  12  105.6
2010  Patriots 65.9  3,900  36  4   111.0
2009  Patriots 65.7  4,398  28  13  96.2
2008  Patriots 63.6    76    0   0  83.9
2007  Patriots 68.9  4,806  50   8  117.2
2006  Patriots 61.8  3,529  24  12  87.9
2005  Patriots 63.0  4,110  26  14  92.3
2004  Patriots 60.8  3,692  28  14  92.6
2003  Patriots 60.2  3,620  23  12  85.9
2002  Patriots 62.1  3,764  28  14  85.7
2001  Patriots 63.9  2,843  18  12  86.5
